diameter_mm,torque_nm,shear_stress_mpa,factor_of_safety,status
53,200,6.8418334315450355,21.923947944772856,PASS
53,300,10.262750147317552,14.615965296515238,PASS
53,400,13.683666863090071,10.961973972386428,PASS
53,500,17.104583578862588,8.769579177909144,PASS
53,600,20.525500294635105,7.307982648257619,PASS
53,700,23.94641701040762,6.26398512707796,PASS
53,800,27.367333726180142,5.480986986193214,PASS
53,900,30.78825044195266,4.871988432171746,PASS
53,1000,34.209167157725176,4.384789588954572,PASS
54,100,3.2343635236883674,46.376976150455924,PASS
54,200,6.468727047376735,23.188488075227962,PASS
54,300,9.703090571065102,15.458992050151975,PASS
54,400,12.93745409475347,11.594244037613981,PASS
54,500,16.17181761844184,9.275395230091183,PASS
54,600,19.406181142130205,7.729496025075988,PASS
54,700,22.640544665818574,6.625282307207988,PASS
54,800,25.87490818950694,5.7971220188069905,PASS
54,900,29.10927171319531,5.152997350050658,PASS
54,1000,32.34363523688368,4.6376976150455915,PASS
55,100,3.0611318881686858,49.001482288218924,PASS
55,200,6.1222637763373715,24.500741144109462,PASS
55,300,9.183395664506058,16.333827429406305,PASS
55,400,12.244527552674743,12.250370572054731,PASS
55,500,15.30565944084343,9.800296457643784,PASS
55,600,18.366791329012116,8.166913714703153,PASS
55,700,21.4279232171808,7.000211755459846,PASS
55,800,24.489055105349486,6.1251852860273654,PASS
55,900,27.550186993518174,5.444609143135435,PASS
55,1000,30.61131888168686,4.900148228821892,PASS
56,100,2.900053627767772,51.723181448702356,PASS
56,200,5.800107255535544,25.861590724351178,PASS
56,300,8.700160883303315,17.24106048290079,PASS
56,400,11.600214511071089,12.930795362175589,PASS
56,500,14.50026813883886,10.344636289740471,PASS
56,600,17.40032176660663,8.620530241450394,PASS
56,700,20.300375394374402,7.389025921243195,PASS
56,800,23.200429022142178,6.4653976810877944,PASS
56,900,26.10048264990995,5.747020160966929,PASS
56,1000,29.00053627767772,5.172318144870236,PASS
57,100,2.750081363194425,54.54384077777386,PASS
57,200,5.50016272638885,27.27192038888693,PASS
57,300,8.250244089583274,18.181280259257953,PASS
57,400,11.0003254527777,13.635960194443465,PASS
57,500,13.750406815972124,10.908768155554773,PASS
57,600,16.50048817916655,9.090640129628976,PASS
57,700,19.250569542360974,7.791977253967694,PASS
57,800,22.0006509055554,6.817980097221732,PASS
57,900,24.750732268749825,6.060426753085984,PASS
57,1000,27.500813631944247,5.454384077777386,PASS
58,100,2.610274190690809,57.465227421301094,PASS
58,200,5.220548381381618,28.732613710650547,PASS
58,300,7.830822572072426,19.155075807100367,PASS
58,400,10.441096762763236,14.366306855325274,PASS
58,500,13.051370953454045,11.493045484260218,PASS
58,600,15.661645144144853,9.577537903550184,PASS
58,700,18.271919334835662,8.209318203043013,PASS
58,800,20.88219352552647,7.183153427662637,PASS
58,900,23.49246771621728,6.385025269033455,PASS
58,1000,26.10274190690809,5.746522742130109,PASS
59,100,2.4797852647742227,60.4891085251517,PASS
59,200,4.959570529548445,30.24455426257585,PASS
59,300,7.439355794322669,20.163036175050564,PASS
59,400,9.91914105909689,15.122277131287925,PASS
59,500,12.398926323871114,12.09782170503034,PASS
59,600,14.878711588645338,10.081518087525282,PASS
59,700,17.35849685341956,8.641301217878814,PASS
59,800,19.83828211819378,7.5611385656439625,PASS
59,900,22.318067382968007,6.721012058350188,PASS
59,1000,24.79785264774223,6.04891085251517,PASS
60,100,2.35785100876882,63.61725123519331,PASS
60,200,4.71570201753764,31.808625617596654,PASS
60,300,7.07355302630646,21.205750411731103,PASS
60,400,9.43140403507528,15.904312808798327,PASS
60,500,11.789255043844099,12.723450247038663,PASS
60,600,14.14710605261292,10.602875205865551,PASS
60,700,16.504957061381738,9.08817874788476,PASS
60,800,18.86280807015056,7.9521564043991635,PASS
60,900,21.22065907891938,7.0685834705770345,PASS
60,1000,23.578510087688198,6.3617251235193315,PASS
